0,3311.93,-8.12,52.57,8.24);
1,3297.59,-6.66,54.13,7.7);
2,3262.04,-6.66,53.86,7.74);
3,3330.38,-6.86,53.66,8.03);
4,3361.27,-6.82,53.73,7.87);
5,3358.16,-6.87,53.78,7.86);
6,3342.91,-6.81,53.67,7.76);
7,3348.58,-6.15,53.91,8.42);
8,3328.94,-6.95,52.72,8.14);
9,3304.51,-6.4,54.08,7.93);
10,3293.22,-6.51,53.07,7.85);
11,3343.3,-6.69,53.49,8.08);
12,3398.92,-6.79,53.57,7.83);
13,3377.38,-6.71,53.39,7.86);
14,3377.27,-6.8,53.04,7.82);
15,3354.99,-6.32,53.45,8.37);
16,3361.53,-6.5,53.64,8.07);
17,3312.35,-6.49,53.83,7.91);
18,3296.8,-6.32,53.77,7.85);
19,3358.2,-6.62,53.68,8.03);
20,3431.11,-6.19,54.42,7.87);
21,3379.45,-6.54,53.77,7.89);
22,3395.98,-6.51,53.52,7.8);
23,3367.61,-6.33,53.7,8.33);
24,3355.26,-6.69,53.26,8.08);
25,3318.24,-6.19,54.24,7.89);
26,3305.46,-6.25,54.0,7.77);
27,3379.53,-6.08,54.28,8.07);
28,3410.91,-6.34,53.78,7.81);
29,3384.42,-5.97,54.04,7.92);
30,3378.71,-6.64,52.81,7.84);
31,3352.31,-6.37,53.15,8.37);
32,3419.23,-6.51,53.28,8.04);
33,3370.02,-6.06,53.77,7.89);
34,3345.47,-6.09,53.74,7.79);
35,3411.41,-6.1,53.86,8.04);
36,3454.37,-6.22,53.95,7.79);
37,3432.24,-6.54,53.53,7.85);
38,3433.19,-6.55,52.97,7.83);
39,3418.0,-4.84,54.44,8.64);
40,3423.45,-6.38,53.35,8.04);
41,3361.64,-6.11,54.01,7.86);
42,3372.09,-5.99,53.92,7.77);
43,3427.11,-6.2,54.2,7.96);
44,3455.25,-6.36,54.02,7.74);
45,3457.34,-6.19,54.24,7.81);
46,3451.46,-6.45,53.33,7.8);
47,3405.59,-6.2,53.14,8.36);
48,3431.51,-6.43,53.4,8.06);
49,3381.67,-5.89,54.19,7.84);
50,3364.2,-5.85,53.99,7.77);
51,3424.74,-6.17,53.77,7.95);
52,3455.54,-6.3,53.65,7.74);
53,3444.77,-6.11,53.88,7.79);
54,3447.3,-6.16,53.34,7.82);
55,3411.58,-6.06,53.13,8.39);
56,3447.14,-6.48,52.92,8.06);
57,3395.23,-6.16,53.63,7.83);
58,3383.51,-5.99,53.68,7.73);
59,3436.82,-6.13,53.59,7.92);
60,3478.19,-6.16,53.94,7.7);
61,3456.87,-6.27,53.83,7.73);
62,3452.99,-6.28,53.25,7.75);
63,3393.37,-6.19,52.82,8.36);
64,3496.9,-6.31,52.92,8.14);
65,3428.2,-6.36,53.14,7.91);
66,3428.55,-6.04,53.79,7.77);
67,3499.87,-5.97,54.38,7.95);
68,3519.16,-6.28,54.1,7.71);
69,3503.13,-6.2,54.06,7.73);
70,3511.06,-6.22,53.7,7.69);
71,3446.86,-6.04,53.49,8.34);
72,3499.72,-6.53,53.21,8.13);
73,3441.92,-6.2,53.67,7.93);
74,3433.52,-6.08,53.61,7.82);
75,3490.61,-5.96,54.26,7.98);
76,3522.82,-6.29,54.31,7.7);
77,3512.51,-6.28,54.37,7.71);
78,3524.46,-6.24,54.13,7.68);
79,3459.53,-6.13,53.61,8.33);
80,3513.45,-6.49,53.56,8.09);
81,3429.03,-6.26,54.09,7.91);
82,3439.96,-5.99,54.12,7.83);
83,3505.54,-5.93,54.55,7.99);
84,3510.22,-6.27,54.42,7.73);
85,3490.69,-6.23,54.35,7.73);
86,3524.09,-5.83,54.1,7.74);
87,3437.09,-6.07,53.7,8.31);
88,3514.97,-6.43,53.47,8.08);
89,3435.77,-6.09,53.62,7.96);
90,3444.51,-6.08,53.53,7.86);
91,3486.16,-6.17,54.0,8.0);
92,3508.08,-6.22,53.95,7.76);
93,3486.09,-6.25,53.87,7.78);
94,3526.15,-6.16,53.79,7.72);
95,3455.85,-6.14,53.44,8.31);
96,3496.24,-6.47,53.03,8.1);
97,3426.47,-6.18,53.33,7.95);
98,3400.09,-6.01,53.62,7.86);
99,3443.33,-6.21,53.4,8.04);
100,3481.04,-6.29,53.81,7.79);
101,3472.89,-6.29,53.76,7.79);
102,3495.46,-6.23,53.37,7.75);
103,3394.06,-6.18,53.08,8.38);
104,3467.01,-6.49,53.03,8.1);
105,3411.33,-6.17,53.34,7.95);
106,3397.48,-6.15,53.31,7.9);
107,3438.28,-6.31,53.31,8.07);
108,3480.73,-6.32,53.48,7.81);
109,3478.84,-6.36,53.46,7.84);
110,3476.97,-6.3,53.12,7.76);
111,3393.71,-6.18,52.97,8.35);
112,3474.51,-6.51,53.0,8.1);
113,3395.64,-6.22,53.29,7.94);
114,3397.0,-6.08,53.13,7.89);
115,3443.0,-6.31,53.13,8.06);
116,3457.39,-6.38,53.13,7.84);
117,3455.6,-6.36,53.22,7.82);
118,3450.09,-6.75,53.82,7.67);
119,3388.23,-6.19,52.64,8.38);
120,3479.44,-6.6,52.75,8.12);
121,3420.67,-6.3,53.09,7.91);
122,3399.61,-6.14,52.92,7.87);
123,3427.53,-6.48,53.16,8.07);
