0 0 0 0xf15  0xec4  0xeac  0xe6a  0xeab  0xe6a  0xeb8  0xea7  0xea7  0xedd  0xe41  0xee7  0xf04  0xf2b  0xf0f  0xe96  0xf05  0xf29  0xf1f  0xf14  0xf76  0xf3a  0xf4f  0xf7a  0xf25  0xf38  0xf68  0xf56  0xf65  0xf20  0xf62  0xf80  0xf76  0xf73  0xf93  0xf0e  0xf57  0xf01  0xf71  0xf66  0xffc  0xf5a  0xf8c  0xf47  0xf6c  0xf22  0xf1a  0xf0e  0xf0d  0xf28  0xf95  0xf2b  0xf6d  0xf74  0xfc4  0xf9a  0xf3a  0xf48  0xfb5  0xf9f  0xfb0  0xfb2  0x1008  0xfe1  0xfcb  0x1020  0xfff  0x1029  0x106c  0x106a  0x1090  0x1067  0x103a  0x106f  0x1071  0x108a  0xff3  0x108b  0x1026  0x103e  0x100e  0x1060  0x103b  0x1021  0x1065  0x1028  0x1092  0x103c  0x105e  0x106b  0x1064  0x106c  0x1073  0xfea  0x1020  0xfed  0x10c8  0x10ca  0x1106  0x1061  0x10b2  0x10cf  0x10ba  0x10d8  0x10a1  0x10d6  0x10cb  0x1115  0x112e  0x10d0  0x10f4  0x1149  0x1117  0x1104  0x1106  0x1134  0x117d  0x1100  0x1110  0x1164  0x1133  0x116e  0x119a  0x11f0  0x11d9  0x11f7  0x1216  0x12dd
0 0 1 0xf9f  0xe52  0xe46  0xeab  0xe54  0xe5e  0xe54  0xe87  0xe84  0xe47  0xe84  0xed5  0xe83  0xe63  0xece  0xe95  0xe97  0xeb2  0xe9a  0xea5  0xe83  0xf10  0xf5f  0xecb  0xed6  0xef9  0xeb7  0xf0e  0xf0d  0xf5e  0xed3  0xee4  0xeeb  0xed6  0xf00  0xf12  0xf48  0xed1  0xefa  0xec9  0xef5  0xf41  0xf51  0xef5  0xf0e  0xef9  0xf23  0xf5e  0xf9d  0xf4e  0xf31  0xf34  0xf3c  0xf1c  0xf1c  0xf38  0xf7b  0xf69  0xf32  0xfa5  0xf8f  0xf89  0xfa9  0xfbd  0x1014  0x101e  0x1048  0x1091  0x1087  0x107c  0x1052  0x107d  0x1092  0x1056  0x1074  0x1066  0x103e  0x104a  0x1086  0x1067  0x1012  0xffc  0x1079  0xfea  0x102c  0x101d  0x1016  0x1007  0xfe2  0xfae  0x1057  0x1024  0x1003  0x100a  0xffd  0x1011  0xfed  0xf9d  0xfea  0x101f  0xffb  0x1062  0x1056  0x1042  0x1071  0x104c  0x1042  0x1027  0x1050  0x1052  0x107a  0x1012  0xfe4  0x100c  0x105e  0x103c  0x109a  0x106a  0x1080  0x1055  0x10ad  0x100f  0x10ef  0x1099  0x10bf  0x1131  0x1127  0x1197
0 0 2 0xe58  0xdb5  0xd86  0xdec  0xdef  0xda8  0xd9d  0xdcf  0xd94  0xd60  0xd63  0xd85  0xd9e  0xd96  0xdb5  0xdae  0xdf3  0xdcc  0xdc9  0xd83  0xdf3  0xdfd  0xdcb  0xe03  0xdad  0xdf8  0xda9  0xe33  0xd8d  0xd8f  0xe1f  0xe7d  0xe28  0xdce  0xe0b  0xe17  0xe5c  0xe05  0xe41  0xe41  0xe35  0xde1  0xe03  0xe4c  0xe5f  0xe6f  0xe51  0xdf8  0xe4c  0xe2f  0xeba  0xe89  0xe40  0xe3c  0xe35  0xe7a  0xe81  0xeab  0xec8  0xeb3  0xe6f  0xedd  0xf02  0xed0  0xeea  0xe72  0xf06  0xeee  0xef9  0xec6  0xef4  0xed0  0xed3  0xec5  0xf77  0xf37  0xf4c  0xee9  0xf24  0xeec  0xf35  0xf23  0xf2a  0xef7  0xefc  0xf12  0xede  0xf25  0xf33  0xebf  0xf08  0xf0f  0xed9  0xf18  0xeca  0xecc  0xece  0xf18  0xebe  0xea0  0xedc  0xed8  0xea8  0xf2f  0xece  0xe9d  0xe96  0xec6  0xea6  0xee1  0xf10  0xed8  0xee2  0xf30  0xf08  0xf48  0xef7  0xed8  0xf76  0xf45  0xf6e  0xf65  0xfd0  0xfb1  0xfcf  0xfdb  0x101b  0x1059
0 0 3 0x10b3  0xfe9  0x1022  0xfc8  0xf93  0xf98  0xfa1  0xf4a  0xf95  0xf6a  0xffd  0xf70  0xf4d  0xf74  0xf90  0xf39  0xfdb  0xfac  0xfdc  0xf99  0xf96  0xf93  0xfa3  0xfe4  0xf8a  0xf96  0xf82  0xfa3  0xf8e  0xf7b  0xf23  0xf97  0xf6b  0xf63  0xf85  0xeeb  0xf9e  0xf08  0xf88  0xf58  0xf58  0xf6c  0xf9c  0xf09  0xf4e  0xf62  0xeeb  0xf86  0xf6b  0xf25  0xf61  0xf4a  0xf8b  0xf47  0xf85  0xfa8  0xf81  0x1017  0xfe8  0x1071  0xf91  0xfc4  0xf87  0xf9b  0x1042  0xfc2  0x1024  0x1043  0x107d  0x10a7  0x1047  0x1024  0xff0  0x1064  0x1068  0x10b1  0x108f  0x1052  0x1044  0x1088  0x108c  0x108e  0x1088  0x102b  0x10a4  0x1075  0x109c  0x1020  0x1093  0x108a  0x1089  0x1098  0x1061  0x10a7  0x1093  0x105e  0x10de  0x1075  0x109b  0x10d7  0x10d7  0x10f3  0x1094  0x107b  0x10b6  0x10e2  0x1133  0x10a0  0x1106  0x10ea  0x10f3  0x10fd  0x1103  0x1123  0x1130  0x10e4  0x115f  0x1149  0x1154  0x1153  0x117e  0x11a4  0x1178  0x11bd  0x117b  0x11a1  0x11d4  0x1282
0 1 0 0x102d  0xfd6  0xfb4  0xf73  0xf3f  0xf36  0xed7  0xf41  0xf48  0xf31  0xf8c  0xf54  0xf61  0xf51  0xf32  0xf3c  0xf89  0xf74  0xf74  0xf27  0xf8f  0xf45  0xf2d  0xf21  0xf2d  0xf08  0xf12  0xf71  0xf8f  0xee4  0xf5d  0xf3e  0xfc0  0xff0  0xfe5  0x1014  0xfe3  0xfc3  0xfbf  0xfdd  0xfb8  0xfb9  0xfc1  0x1058  0xfd1  0xf8c  0xff8  0x1042  0xfb0  0x1010  0xfe6  0x108a  0xffc  0x1003  0xff4  0x1028  0xffe  0xfd6  0x108b  0x104d  0x1049  0xfc7  0x1050  0x103e  0x10c3  0x1044  0x1046  0x10b2  0x10bd  0x10f4  0x10ae  0x10e4  0x1074  0x1104  0x10d7  0x1123  0x1103  0x112e  0x10ef  0x1129  0x1128  0x1140  0x1113  0x113c  0x111e  0x10f0  0x113a  0x113f  0x1160  0x1188  0x1159  0x1128  0x112b  0x1182  0x114d  0x10ed  0x117d  0x1131  0x10df  0x109d  0x1166  0x1118  0x10d9  0x10a2  0x10bc  0x1077  0x10fb  0x10d3  0x10ce  0x10b0  0x1116  0x10da  0x10e6  0x10fe  0x10ff  0x1107  0x10eb  0x1152  0x1117  0x114c  0x1146  0x1174  0x1199  0x11e3  0x11ca  0x1176  0x11fe  0x1246
0 1 1 0xf4d  0xd75  0xda5  0xd9c  0xdb8  0xd73  0xdb7  0xd59  0xdd3  0xe12  0xdc3  0xde5  0xe68  0xe15  0xdb3  0xdf1  0xe0b  0xe27  0xe3c  0xdd1  0xde6  0xe17  0xe55  0xe4e  0xe73  0xe88  0xe2b  0xe05  0xe52  0xe53  0xea1  0xe7a  0xeac  0xe71  0xe43  0xe6d  0xe2d  0xec1  0xe9c  0xec6  0xe82  0xefd  0xea9  0xf06  0xef6  0xf03  0xef0  0xf62  0xf54  0xf0a  0xf90  0xf60  0xf42  0xf9d  0xf7a  0xf87  0xfc8  0xfbd  0xfba  0x1014  0x1035  0x1035  0xfb7  0x1038  0xff9  0x1045  0x105b  0x1067  0x1075  0x1076  0x1004  0xff2  0x1076  0x1041  0x1016  0x101f  0x104d  0x105b  0x104b  0x1058  0x1045  0x1054  0x1085  0x1041  0x105d  0x1062  0x1066  0x10a8  0xfec  0x108e  0x1090  0x10a8  0x1038  0x1081  0x1095  0x1096  0x1034  0x10b1  0x10df  0x1072  0x10bb  0x10d2  0x10d0  0x1128  0x1112  0x10a3  0x10e4  0x1103  0x10e5  0x1163  0x114d  0x113e  0x1165  0x1129  0x10fe  0x11b1  0x11d4  0x11d6  0x11ae  0x11cf  0x11d1  0x1183  0x1215  0x121c  0x12a2  0x1273  0x1259  0x1342
0 1 2 0xfca  0xf6f  0xf8d  0xed1  0xec2  0xed7  0xebe  0xeaf  0xe81  0xebe  0xe66  0xeb5  0xe6f  0xe3e  0xe2b  0xe4f  0xe3c  0xdff  0xe3f  0xe9a  0xe6c  0xe3e  0xdf6  0xe64  0xe5e  0xe54  0xe36  0xe33  0xe35  0xe41  0xe13  0xe98  0xe87  0xe28  0xec1  0xed4  0xeb0  0xe9c  0xed0  0xed6  0xead  0xe3f  0xf3a  0xe94  0xece  0xe57  0xe3f  0xe61  0xe23  0xecc  0xeb9  0xe99  0xed0  0xea2  0xe53  0xe82  0xe57  0xee4  0xed6  0xed0  0xf04  0xefd  0xf07  0xefc  0xf4b  0xfc4  0xf8c  0xfd0  0xf75  0xfae  0xf31  0xfd5  0xfed  0xf8b  0x1043  0xfea  0xfea  0x1008  0x1051  0x101f  0x1044  0x1023  0x105e  0x1028  0x1054  0xfff  0x106d  0x1033  0x1025  0x1040  0x1096  0x1036  0x102d  0x10ab  0x104b  0xfe8  0x1036  0x1007  0x109b  0x106d  0x102a  0x1056  0x109c  0x10c3  0x10ba  0x104e  0x10f9  0x1088  0x1108  0x10bf  0x1106  0x109b  0x1113  0x10f1  0x116b  0x1161  0x1147  0x10ee  0x117d  0x1123  0x118b  0x117d  0x120e  0x1204  0x11e5  0x120a  0x1282  0x12c3
0 1 3 0x1120  0x104e  0x1057  0x1053  0x1013  0x1028  0x1014  0x1047  0x1024  0xffe  0xfb2  0xfb9  0xfde  0xff4  0x1001  0xfbc  0xfce  0xfbe  0xfed  0xfef  0xf9c  0xfd9  0xfca  0x1016  0xfc2  0xfc6  0x101d  0xf98  0xfef  0xff1  0xfeb  0xfc8  0xfbf  0xf89  0xf9c  0xfad  0xfb6  0xfdc  0xfbd  0xf31  0xf93  0xfba  0xfad  0xf80  0x1013  0xfb3  0xf70  0xf9f  0xf9f  0xff0  0xf8a  0xf75  0xfcf  0xffa  0xfec  0xfb0  0xff9  0xfaf  0xfbe  0xfe0  0xf99  0xfdc  0xff9  0xffa  0x10c3  0x10e6  0x10a0  0x10dc  0x1105  0x1134  0x112a  0x1114  0x1139  0x10d9  0x112d  0x1151  0x1120  0x10e4  0x1141  0x1146  0x1141  0x1124  0x1105  0x1142  0x1111  0x110d  0x1109  0x116d  0x10f5  0x1137  0x10ed  0x110c  0x1125  0x10e1  0x1164  0x111e  0x1135  0x1130  0x117b  0x112c  0x1111  0x1157  0x111c  0x118d  0x111a  0x1168  0x114f  0x1157  0x1194  0x1186  0x119d  0x1167  0x1161  0x1189  0x11bb  0x1160  0x1186  0x11ca  0x11a1  0x11a4  0x119e  0x1197  0x1199  0x11f7  0x11d5  0x11b4  0x11f5  0x1306
0 2 0 0xffe  0xf54  0xf78  0xf7c  0xf38  0xf5a  0xf81  0xf0b  0xf3e  0xf36  0xf5f  0xfa3  0xfa9  0xee4  0xf7d  0xef7  0xf59  0xfb5  0xfa3  0xf92  0xf9d  0xfab  0xf99  0x100c  0xf8a  0xf9d  0xf9e  0xf78  0x1028  0xfb4  0xff3  0xfeb  0xfda  0x109a  0xfd8  0x1036  0x1049  0x1001  0x105a  0x10a1  0x1025  0x102e  0x106b  0x1057  0x10b6  0x10be  0x1031  0x105c  0x1042  0x107b  0x1040  0x10dd  0x10a0  0x106a  0x104e  0x1062  0x1035  0x10ca  0x1129  0x10de  0x1086  0x1091  0x1111  0x109f  0x1199  0x10fe  0x114d  0x1197  0x113b  0x1137  0x1189  0x1186  0x1121  0x1103  0x116e  0x114a  0x1166  0x117a  0x11ba  0x11b1  0x113f  0x1184  0x11f2  0x1199  0x11c2  0x11ba  0x11be  0x11e0  0x1194  0x11d3  0x11cb  0x11be  0x11d7  0x1198  0x115f  0x120e  0x11e7  0x118c  0x1167  0x1183  0x1221  0x11f8  0x1184  0x11e3  0x11e7  0x121a  0x1221  0x120d  0x1206  0x1229  0x127a  0x1262  0x121f  0x1289  0x1245  0x1267  0x121b  0x1250  0x12c0  0x1229  0x123a  0x12b9  0x12ce  0x1329  0x1340  0x1321  0x1334  0x1387
0 2 1 0xf42  0xe90  0xe3d  0xe55  0xe89  0xe5a  0xe65  0xe4b  0xe7a  0xe70  0xe71  0xe56  0xe6b  0xea4  0xeda  0xeb6  0xf25  0xeb6  0xef7  0xedf  0xee3  0xee1  0xecb  0xe9f  0xe5e  0xeac  0xee6  0xeff  0xf37  0xe94  0xe8f  0xe30  0xe8e  0xeb2  0xf15  0xe7c  0xecc  0xe8e  0xe97  0xe47  0xe86  0xee9  0xee3  0xef5  0xeec  0xebe  0xf24  0xe83  0xf0e  0xf41  0xebb  0xedb  0xf77  0xefe  0xf53  0xf26  0xf5e  0xf64  0xfa0  0xf7f  0xf55  0xfa6  0xf93  0xfeb  0xfda  0xff3  0xfc7  0x1005  0x1010  0x1016  0x1008  0x107a  0x101c  0x104c  0x1093  0x103c  0x1022  0x1072  0x1081  0x104b  0x1053  0xfea  0x1035  0xff5  0x1054  0x101f  0x104f  0x1066  0xffe  0xfff  0x1001  0x102a  0xfff  0xfd5  0xfdd  0xfe5  0xfd4  0xfe5  0x104c  0xfe6  0xfaa  0x1013  0xfe5  0x1002  0xff4  0x1048  0xf88  0xffd  0x1003  0x1041  0x100f  0x102d  0x1042  0x1068  0x10a3  0x1026  0x108d  0x1077  0x10c3  0x106a  0x1095  0x10d4  0x1099  0x10f7  0x114b  0x1113  0x11a8  0x122f
