0 0 0 0xfcf  0xf97  0xf5d  0xf34  0xf52  0xf33  0xf6f  0xf5d  0xf62  0xf91  0xf14  0xfa2  0xfd5  0xff7  0xfd2  0xf4b  0xfbb  0xff0  0xfe0  0xfd8  0x1026  0xff4  0xff2  0x103d  0xffe  0xffa  0x1023  0x1010  0x1029  0xfe9  0x1023  0x1045  0x1035  0x1027  0x103d  0xfd0  0x100e  0xfad  0x101e  0x100f  0x1091  0x1001  0x1030  0xff3  0x1022  0xfe7  0xfd4  0xfdc  0xfd4  0xfde  0x1042  0xfe8  0x1004  0xfde  0xfed  0xfcd  0xf93  0xfc7  0x1051  0x1035  0x105b  0x1069  0x10b6  0x1096  0x1086  0x10c5  0x10b0  0x10e3  0x1114  0x1107  0x1148  0x1117  0x10fb  0x1112  0x1117  0x113a  0x10ac  0x1147  0x10dc  0x1103  0x10b4  0x1117  0x1100  0x10eb  0x112b  0x10dc  0x113c  0x10fd  0x110f  0x1126  0x1118  0x112c  0x1130  0x1093  0x10fd  0x10a7  0x1191  0x1192  0x11cd  0x111b  0x1186  0x1199  0x117f  0x1195  0x1165  0x119d  0x1197  0x11cf  0x120c  0x11a6  0x11bf  0x1220  0x11fd  0x11ce  0x11c7  0x120d  0x1249  0x11d1  0x1203  0x1241  0x121f  0x122a  0x126f  0x12c4  0x129e  0x12e2  0x12f9  0x13bc
0 0 1 0xfd4  0x10e8  0x10d0  0x1104  0x10ce  0x10ab  0x1094  0x1088  0x1065  0xfe2  0xfe6  0x1007  0xf97  0xf72  0xfd5  0xf91  0xf76  0xf94  0xf80  0xf8d  0xf56  0xff4  0x102d  0xfa9  0xfab  0xfc3  0xf8d  0xfd1  0xfd8  0x102c  0xf95  0xfb0  0xfa7  0xf85  0xfc8  0xfd9  0x1004  0xf8b  0xfbf  0xf86  0xfa8  0x1001  0x100f  0xfa5  0xfc6  0xfae  0xfd8  0x1022  0x1058  0xff2  0xfe5  0xfcf  0xff9  0xfdb  0xfc6  0xfdf  0x1028  0x101d  0xfdb  0x103d  0x1033  0x103d  0x1031  0x105f  0x10bb  0x10c3  0x10eb  0x1130  0x1123  0x1123  0x10fa  0x1117  0x1125  0x10ef  0x1126  0x110d  0x10d8  0x10d9  0x110d  0x10f7  0x10a9  0x109d  0x1103  0x1083  0x10c1  0x10bb  0x10a4  0x109c  0x107d  0x1045  0x10e7  0x10ad  0x10a4  0x1095  0x1091  0x109a  0x1088  0x1031  0x1086  0x10b2  0x1089  0x10e8  0x10dc  0x10cf  0x1105  0x10c9  0x10d5  0x10b2  0x10ce  0x10d9  0x10fc  0x109f  0x106f  0x10a8  0x10de  0x10bf  0x1128  0x10f7  0x110d  0x10e3  0x1129  0x10a0  0x1175  0x1133  0x1136  0x11c1  0x11b2  0x1222
0 0 2 0xf04  0xe5f  0xe46  0xeac  0xeaf  0xe70  0xe58  0xe7b  0xe39  0xe0e  0xe17  0xe24  0xe4c  0xe41  0xe48  0xe52  0xe8e  0xe60  0xe83  0xe31  0xe89  0xe9a  0xe5c  0xeb1  0xe57  0xe96  0xe5b  0xeca  0xe12  0xe27  0xeb3  0xefd  0xed9  0xe64  0xeab  0xec9  0xf02  0xea3  0xedc  0xee5  0xed0  0xe8b  0xea2  0xf03  0xef9  0xf17  0xef9  0xe94  0xeee  0xecd  0xf63  0xf19  0xef3  0xec8  0xeee  0xf34  0xf22  0xf46  0xf58  0xf5b  0xf08  0xf9a  0xfa6  0xf83  0xf88  0xf1e  0xf93  0xf8a  0xfa4  0xf77  0xfaa  0xf76  0xf85  0xf79  0x102b  0xfd1  0xffb  0xf86  0xfe7  0xf97  0xfe9  0xfd4  0xfdd  0xfad  0xfb8  0xfcc  0xf9e  0xff2  0xfe3  0xf65  0xfd4  0xfd9  0xf85  0xfbc  0xf76  0xf77  0xf87  0xfc5  0xf7c  0xf73  0xf95  0xf8b  0xf62  0xfec  0xf8a  0xf51  0xf5b  0xf88  0xf6b  0xfc9  0xfdc  0xfbd  0xf99  0xff9  0xfd2  0x102b  0xfd2  0xfb0  0x103e  0x1017  0x102d  0x1036  0x10b9  0x1087  0x10ab  0x1099  0x10e3  0x111b
0 0 3 0x110d  0x1046  0x10b7  0x104c  0x1016  0xfd4  0x1034  0xf94  0xfc9  0xfb9  0x104c  0xfd0  0xfc9  0xfd4  0xfe6  0xfab  0x1097  0x1006  0x102e  0xfdb  0xff5  0xff9  0x1015  0x1042  0xfcc  0xfe5  0xff2  0x1025  0x1021  0xfe1  0xf7e  0x100e  0xfd7  0xfb6  0xfe7  0xf7a  0x1045  0xf8f  0x1024  0xfc9  0xfc8  0xfdd  0x1030  0xf70  0xfd6  0xfee  0xf70  0xfeb  0xfd3  0xfb5  0xfbb  0xfc1  0x102b  0xfdc  0x102b  0x1025  0x100c  0x10a3  0x1087  0x10f2  0x1035  0x103d  0x1040  0x1042  0x10e5  0x1057  0x10b0  0x10e5  0x112a  0x1121  0x10e4  0x10c9  0x109a  0x1119  0x1109  0x116b  0x114b  0x1114  0x110c  0x1132  0x1138  0x1136  0x1134  0x10e1  0x117a  0x112d  0x1085  0x10cd  0x1142  0x114b  0x1141  0x1149  0x1128  0x1172  0x1165  0x111f  0x119b  0x1139  0x1169  0x119f  0x1198  0x11c2  0x1163  0x1144  0x1195  0x11a7  0x1205  0x1178  0x11e1  0x11bd  0x11cf  0x11e3  0x11eb  0x1211  0x1226  0x11da  0x1253  0x1246  0x125b  0x1260  0x12b0  0x1309  0x12e7  0x1376  0x13a7  0x140e  0x144b  0x1362
0 1 0 0x106d  0x100d  0xffd  0xfc1  0xf8a  0xf80  0xf20  0xf79  0xf95  0xf79  0xfc3  0xf91  0xfb4  0xf9b  0xf65  0xf7c  0xfc4  0xfba  0xfb6  0xf69  0xfc4  0xf7e  0xf5d  0xf4f  0xf67  0xf45  0xf55  0xfa9  0xfc8  0xf2a  0xf90  0xf74  0xffb  0x1038  0x1023  0x1044  0x1007  0xffc  0x1010  0x1021  0xfe9  0xff3  0xff5  0x1092  0x100b  0xfbf  0x103a  0x1081  0xfe4  0x104f  0x1015  0x10c5  0x1028  0x1032  0x1033  0x1063  0x102c  0xff8  0x10bc  0x1074  0x1076  0xfed  0x108d  0x1073  0x10fd  0x1069  0x106d  0x10ce  0x10dd  0x1118  0x10e5  0x1116  0x109c  0x112a  0x10fa  0x1137  0x1122  0x1155  0x1113  0x114a  0x114e  0x1172  0x1139  0x116d  0x1147  0x112b  0x1169  0x1162  0x1182  0x11b5  0x117b  0x114e  0x1159  0x1195  0x117e  0x110d  0x119f  0x115c  0x10f9  0x10be  0x1191  0x1135  0x10f1  0x10c6  0x10db  0x10a3  0x111c  0x10ea  0x10f3  0x10dc  0x1142  0x1102  0x110f  0x1125  0x1129  0x112e  0x111a  0x1175  0x113f  0x115b  0x1161  0x119e  0x11d4  0x11f2  0x11e4  0x118a  0x121d  0x1266
0 1 1 0xf07  0xfe4  0xfc2  0xf8d  0xf9e  0xef1  0xefd  0xe32  0xe82  0xeae  0xe38  0xe75  0xed0  0xe89  0xe21  0xe60  0xe6d  0xe8c  0xe93  0xe2b  0xe4b  0xe72  0xe9c  0xeac  0xeb9  0xedb  0xe80  0xe59  0xea5  0xe9d  0xee1  0xed3  0xefa  0xeb9  0xe8a  0xebf  0xe7c  0xf11  0xedd  0xf18  0xed0  0xf47  0xef6  0xf4e  0xf3f  0xf55  0xf33  0xf9f  0xf96  0xf54  0xfca  0xfa8  0xfa5  0xfe8  0xfba  0xfc4  0x100e  0x1018  0x1011  0x1057  0x1074  0x1083  0xfff  0x1089  0x103f  0x1097  0x109e  0x109b  0x10b6  0x10c1  0x1041  0x1039  0x10a8  0x1087  0x1054  0x106a  0x1088  0x10a0  0x107b  0x1086  0x1092  0x1085  0x10bf  0x108f  0x1096  0x1098  0x10a0  0x10f2  0x1020  0x10bc  0x10de  0x10d0  0x107e  0x10a5  0x10e3  0x10c6  0x1075  0x10ef  0x1116  0x1090  0x10ff  0x1102  0x10f5  0x1164  0x113e  0x10e0  0x111b  0x113a  0x110f  0x1195  0x117c  0x1176  0x117b  0x1157  0x1121  0x11d4  0x120d  0x1205  0x11f1  0x11ec  0x11da  0x1195  0x1220  0x122c  0x12d1  0x128e  0x1278  0x135a
0 1 2 0xfb8  0xf77  0xf8b  0xedc  0xeba  0xee5  0xebe  0xebf  0xe8e  0xee1  0xe65  0xecc  0xe8f  0xe48  0xe47  0xe91  0xe5c  0xe25  0xe63  0xebf  0xe9c  0xe75  0xe3c  0xe87  0xe8b  0xe86  0xe6a  0xe62  0xe6f  0xe7a  0xe48  0xedd  0xeb3  0xe65  0xe9a  0xf1f  0xf03  0xeec  0xf2b  0xf30  0xefc  0xe9f  0xf9a  0xf01  0xf34  0xec3  0xea1  0xec0  0xe8b  0xf39  0xf1e  0xf2d  0xf45  0xf36  0xeae  0xef3  0xec4  0xf71  0xf54  0xf55  0xf9b  0xf83  0xf8a  0xf76  0xfe6  0x102d  0x1033  0x106e  0x1001  0x1045  0xfc5  0x107a  0x106e  0x101e  0x10bd  0x105e  0x108f  0x10ac  0x10df  0x10a1  0x10c2  0x10a5  0x10e4  0x10b3  0x10e6  0x10a3  0x10f0  0x10b5  0x10a5  0x10d4  0x1118  0x10ba  0x10be  0x1146  0x10dd  0x106f  0x10bd  0x1087  0x1120  0x10ec  0x10af  0x10f7  0x112f  0x1156  0x1139  0x10d0  0x1177  0x1116  0x11a9  0x1147  0x118b  0x112b  0x11a7  0x116c  0x11ec  0x11e5  0x11cf  0x1174  0x120c  0x11ab  0x1219  0x120f  0x1293  0x1291  0x126c  0x1281  0x1306  0x1346
0 1 3 0x119a  0x10da  0x10d4  0x10cd  0x10ae  0x10a4  0x10a0  0x10d1  0x10b4  0x1087  0x1048  0x104d  0x1065  0x1071  0x107f  0x104b  0x104f  0x1046  0x1063  0x1080  0x1043  0x1054  0x1052  0x10a3  0x1053  0x1059  0x10a6  0x1024  0x1074  0x106b  0x1070  0x105d  0x1039  0x1006  0x1025  0x1039  0x1047  0x105c  0x1043  0xfc5  0x1022  0x1048  0x1039  0x101e  0x10ad  0x1039  0x1004  0x1034  0x102d  0x1075  0x1013  0x1006  0x104e  0x1081  0x1059  0x1037  0x107e  0x103f  0x1050  0x1075  0x102a  0x1064  0x1087  0x109c  0x1145  0x1167  0x112a  0x1177  0x1187  0x11c4  0x11ad  0x1198  0x11c2  0x115b  0x11b6  0x11d0  0x11ad  0x1170  0x11c4  0x11d0  0x11c0  0x11ae  0x119d  0x11cd  0x119b  0x119d  0x1194  0x11f9  0x116d  0x11c0  0x1181  0x1198  0x11ac  0x1166  0x11f0  0x11a2  0x11ba  0x11b9  0x120b  0x11bf  0x119d  0x11f0  0x11af  0x1220  0x11b0  0x120a  0x11d9  0x11dd  0x1226  0x1206  0x122c  0x11f8  0x11f9  0x1228  0x1249  0x11f2  0x120a  0x1259  0x124a  0x124e  0x126a  0x127e  0x12a3  0x1375  0x13b4  0x13dd  0x1468  0x138d
0 2 0 0x1033  0xf8a  0xfb0  0xfb3  0xf71  0xf8e  0xfac  0xf35  0xf6f  0xf69  0xf91  0xfca  0xfd6  0xf2f  0xfb9  0xf23  0xf89  0xff3  0xfd3  0xfbe  0xfcb  0xfd8  0xfcd  0x1034  0xfc5  0xfcf  0xfd8  0xfa9  0x105b  0xfe9  0x1030  0x1025  0x101a  0x10df  0x1013  0x1075  0x107b  0x1032  0x1086  0x10d0  0x104c  0x1061  0x1099  0x1090  0x10fb  0x10f1  0x1077  0x10a2  0x1083  0x10cd  0x107f  0x1121  0x10d5  0x1090  0x1076  0x10ae  0x1077  0x110a  0x1176  0x111e  0x10d3  0x10db  0x114b  0x10ed  0x11dd  0x1141  0x119f  0x11ec  0x117f  0x1178  0x11d5  0x11cb  0x1158  0x1148  0x11a8  0x1184  0x11ae  0x11be  0x120c  0x11f2  0x1183  0x11a8  0x1237  0x11f5  0x1230  0x1215  0x120b  0x1225  0x11d4  0x121f  0x1217  0x120c  0x1228  0x11ee  0x11af  0x125b  0x1234  0x11e3  0x11c5  0x11e6  0x1250  0x1239  0x11f8  0x1232  0x1245  0x1278  0x127d  0x124b  0x125f  0x1280  0x12d2  0x12f4  0x127e  0x12e2  0x128e  0x12a2  0x1277  0x12af  0x1313  0x129e  0x128f  0x1322  0x131a  0x1396  0x1376  0x1350  0x138f  0x13b4
0 2 1 0x104c  0xf72  0xf4e  0xf8f  0x128e  0x11c3  0x10d9  0x10a7  0x1093  0x104c  0x1016  0xfcd  0xfc5  0xfdf  0x1000  0xfe8  0x103c  0xfcf  0xffd  0xfe8  0xff2  0xff1  0xfd0  0xfbc  0xf5b  0xfa5  0xfdb  0xfed  0x101d  0xf70  0xf7b  0xf2b  0xf7a  0xf9f  0xfe8  0xf48  0xfbc  0xf52  0xf51  0xf08  0xf4e  0xfb3  0xfac  0xfc3  0xfa7  0xf7b  0xfbf  0xf3d  0xfbb  0xff7  0xf61  0xf96  0x1025  0xf85  0xff0  0xfc0  0x1007  0xfe7  0x103f  0x102b  0x1013  0x1042  0x101e  0x105e  0x1059  0x106b  0x1055  0x10a0  0x1095  0x1095  0x1088  0x10dd  0x10a5  0x10b0  0x110e  0x109a  0x109b  0x10f0  0x10dd  0x10a6  0x109d  0x1039  0x1078  0x105b  0x108f  0x1082  0x10a1  0x109c  0x104d  0x103c  0x1048  0x1068  0x103f  0x102a  0x100e  0x1030  0x1021  0x1030  0x10a1  0x1033  0xfd1  0x104f  0x1029  0x103a  0x103b  0x108a  0xfc5  0x106a  0x1036  0x106a  0x1064  0x1073  0x107c  0x10a2  0x10c7  0x1078  0x10ab  0x10c5  0x10f8  0x1091  0x10f5  0x10cd  0x114f  0x111b  0x116a  0x111f  0x11d3  0x1249
